;Nazwa Banku;Osoby fizyczne;Klienci korporacyjni
1;Powszechna Kasa Oszczędności Bank Polski SA;https://www.pkobp.pl/oplaty-i-oprocentowanie/oprocentowanie#bd-col-87b11bfaa1ec-doc-27756;https://www.pkobp.pl/oplaty-i-oprocentowanie/oprocentowanie#bd-col-ffc274a20868-doc-27825
2;Bank Handlowy w Warszawie SA;https://www.citibank.pl/dokumenty/[zakładki: klienci indywidualni > konta > tabela oprocentowania | klienci firmowi > konta > tabela oprocentowania ];
3;ING Bank Śląski SA;https://www.ing.pl/indywidualni/tabele-i-regulaminy/oprocentowanie/rachunki-oszczednosciowe-lokatyhttps://www.ing.pl/indywidualni/tabele-i-regulaminy/regulaminy/lokatyhttps://www.ing.pl/indywidualni/tabele-i-regulaminy/regulaminy/konta-oszczednosciowe;https://www.ing.pl/male-firmy/tabele-i-regulaminy/oprocentowanie-mf#oprocentowanie=2https://www.ing.pl/dokumenty-fis-i-korporacji/oprocentowanie
4;Santander Bank Polska SA;https://www.santander.pl/przydatne-informacje/oprocentowanie#informacje;https://www.santander.pl/przydatne-informacje/oprocentowanie-firmy
5;mBank S.A.;https://www.mbank.pl/pomoc/oprocentowanie/oferta-indywidualna/https://www.mbank.pl/pomoc/oprocentowanie/private-banking/stawki-nowe-kredyty/;https://www.mbank.pl/pomoc/oprocentowanie/firmy/https://www.mbank.pl/pomoc/oprocentowanie/msp-korporacje/
6;Bank Millennium SA;"https://www.bankmillennium.pl/klienci-indywidualni/wsparcie/cenniki-i-regulaminy[uwaga - w tym przypadku nie tabela oprocentowania, ale ""cennik usług - stopy procentowe""]";https://www.bankmillennium.pl/biznes/produkty/inwestowanie-kapitalu/lokata-biznes#dokumenty-do-pobrania
7;Bank Pekao SA ;https://www.pekao.com.pl/o-banku/stopka/cennik-i-regulamin.html#[osobne regulaminy dla poszczególnych segmentów];
8;Bank Pocztowy SA;https://www.pocztowy.pl/indywidualni/oprocentowanie;https://www.pocztowy.pl/male-firmy/oprocentowaniehttps://www.pocztowy.pl/instytucje/oprocentowanie
9;Bank Ochrony Środowiska SA;"https://www.bosbank.pl/wazne-informacje/tabele-oplaty[osobne regulaminy dla poszczególnych segmentów w zakładce ""oprocentowanie""]";
10;Plus Bank SA;https://plusbank.pl/oferta-dla-ciebie/konto-osobiste/konto-plus[zakładka tabela oprocentowania];https://plusbank.pl/oferta-dla-firmy/rachunki/rachunek-biznes[zakładka tabela oprocentowania]
11;Nest Bank SA;https://nestbank.pl/centrum-informacji/regulaminy-i-cenniki-oszczednosci-osobiste/;https://nestbank.pl/centrum-informacji/regulaminy-i-cenniki-oszczednosci-firmowe/
12;Deutsche Bank Polska SA;n/a;https://country.db.com/poland/klienci-korporacyjni/dokumenty/?language_id=1
13;Credit Agricole Bank Polska SA;https://www.credit-agricole.pl/oprocentowaniehttps://www.credit-agricole.pl/dokumenty/konta/tabela-oprocentowania;https://www.credit-agricole.pl/dokumenty/msp/tabela-oprocentowaniahttps://www.credit-agricole.pl/rolnictwo/oszczednosci/lokaty-terminowe
14;BNP Paribas Bank Polska SA;https://www.bnpparibas.pl/repozytorium/oplaty-i-oprocentowanie/produkty-banku-bnp-paribas-sa[osobne tabele oprocentowania dla poszczególnych segmentów];
15;Santander Consumer Bank SA;https://www.santanderconsumer.pl/oszczednosci/rachunek-oszczednosciowy,1.htmlhttps://www.santanderconsumer.pl/oszczednosci/lokaty-przez-internet,2.html;
16;Toyota Bank Polska SA;https://www.toyotabank.pl/obsluga-klienta/dokumenty[osobne tabele oprocentowania dla poszczególnych segmentów];
17;Alior Bank SA;https://www.aliorbank.pl/dodatkowe-informacje/przydatne-dokumenty/klienci-indywidualni.html;https://www.aliorbank.pl/dodatkowe-informacje/przydatne-dokumenty/wlasna-dzialanosc.html
18;Bank Nowy SA;https://online.banknowy.pl/portal_online/dokumenty;
19;VeloBank Spółka Akcyjna;https://www.velobank.pl/klienci-indywidualni/centrum-dokumentow[osobne tabele oprocentowania dla Kont osobistych i oszczędnościowych oraz dla Lokat terminowych];https://www.velobank.pl/firmy/centrum-dokumentow
